repo,url,stars,year,has_package_swift,description,language,topics,archived,open_issues,iOS,macOS,watchOS,tvOS,visionOS,platform_count
joshdholtz/DeckUI,https://github.com/joshdholtz/DeckUI.git,620.0,2025.0,True,Swift DSL for writing slide decks in Xcode,Swift,"slides, swift, swiftui, xcode",False,16.0,15.0,12.0,,,,2
jpsim/SourceKitten,https://github.com/jpsim/SourceKitten.git,2380.0,2025.0,True,An adorable little framework and command line tool for interacting with SourceKit.,Swift,,False,98.0,,12.0,,,,1
jpsim/Yams,https://github.com/jpsim/Yams.git,1183.0,2025.0,True,A Sweet and Swifty YAML parser.,Swift,"swift, libyaml, yaml, ios, macos, linux",False,28.0,,,,,,0
jtrivedi/Wave,https://github.com/jtrivedi/Wave.git,2222.0,2025.0,True,"Wave is a spring-based animation engine for iOS and macOS that makes it easy to create fluid, interruptible animations that feel great.",Swift,"animation, gestures, ios, motion, swift, interaction-design, uikit, ui, appkit, swiftui",False,11.0,13.0,,,,,1
kabiroberai/node-swift,https://github.com/kabiroberai/node-swift.git,551.0,2025.0,True,Create Node modules in Swift,Swift,,False,18.0,13.0,,,,,1
kaishin/Gifu,https://github.com/kaishin/Gifu.git,3176.0,2025.0,True,High-performance animated GIF support for iOS in Swift,Swift,"swift, carthage, gif, animation, cocoapods",False,29.0,12.0,,,12.0,1.0,3
kean/Nuke,https://github.com/kean/Nuke.git,8411.0,2025.0,True,Image loading system,Swift,"cache, image, swift, webp, gif, progressive",False,45.0,13.0,,6.0,13.0,1.0,4
kean/Pulse,https://github.com/kean/Pulse.git,6711.0,2025.0,True,Network logger for Apple platforms,Swift,"logger, networking, logging, ios, swift, macos",False,46.0,15.0,13.0,9.0,15.0,1.0,5
Kentzo/ShortcutRecorder,https://github.com/Kentzo/ShortcutRecorder.git,589.0,2025.0,True,"The best control to record shortcuts on macOS, written in ObjC with Swift in mind",Objective-C,"macos, cocoa, ui, shortcut",False,17.0,,,,,,0
KeyboardKit/KeyboardKit,https://github.com/KeyboardKit/KeyboardKit.git,1644.0,2025.0,True,"KeyboardKit lets you create custom keyboard extensions with a few lines of code, using Swift & SwiftUI.",Swift,"emoji, swift, swiftui, keyboard, keyboard-extension, ios, macos, tvos, watchos, apple, visionos",False,24.0,15.0,12.0,8.0,15.0,1.0,5
kif-framework/KIF,https://github.com/kif-framework/KIF.git,6236.0,2025.0,True,Keep It Functional - An iOS Functional Testing Framework,Objective-C,,False,51.0,13.0,,,,,1
kingslay/KSPlayer,https://github.com/kingslay/KSPlayer.git,1278.0,2025.0,True,"A video player for iOS、macOS、tvOS、visionOS , based on AVPlayer and FFmpeg, support the horizontal, vertical screen. support adjust volume, brightness and seek by slide, SwiftUI, support subtitles.",Swift,"swift, ios, macos, ffmpeg, avplayer, swiftui, tvos, video-player, visionos, audio-player",False,19.0,13.0,,,13.0,1.0,4
krzysztofzablocki/Difference,https://github.com/krzysztofzablocki/Difference.git,1231.0,2025.0,True,Simple way to identify what is different between 2 instances of any type. Must have for TDD.,Swift,"testing, ios, swift, macos, watchos, tvos",False,4.0,,,,,,0
krzysztofzablocki/Inject,https://github.com/krzysztofzablocki/Inject.git,2991.0,2025.0,True,Hot Reloading for Swift applications! ,Swift,"hot-reload, ios, swift, swiftui",False,4.0,11.0,,,13.0,,2
krzysztofzablocki/LifetimeTracker,https://github.com/krzysztofzablocki/LifetimeTracker.git,3249.0,2025.0,True,Find retain cycles / memory leaks sooner.,Swift,"memory-leaks, retain-cycles, tool, swift, ios",False,9.0,,,,,,0
krzysztofzablocki/sourcery,https://github.com/krzysztofzablocki/sourcery.git,7902.0,2025.0,True,"Meta-programming for Swift, stop writing boilerplate code.",Swift,"metaprogramming, swift, codegen, codegenerator, ios, templates, code-generation",False,86.0,,13.0,,,,1
krzyzanowskim/CryptoSwift,https://github.com/krzyzanowskim/CryptoSwift.git,10379.0,2025.0,True,CryptoSwift is a growing collection of standard and secure cryptographic algorithms implemented in Swift,Swift,"swift, aes, cryptography, commoncrypto, cryptoswift, md5, sha1, hmac-authentication, sha3, cipher, digest, aes-gcm, hmac",False,5.0,11.0,,4.0,11.0,,4
krzyzanowskim/STTextView,https://github.com/krzyzanowskim/STTextView.git,1311.0,2025.0,True,"Performant and reusable text view component (TextKit 2), with line numbers and more. UITextView / NSTextView replacement.",Swift,"textview, macos, textkit, swift, appkit, nstextview, cococa, editor, text, swiftui, textkit2, sttextview",False,1.0,16.0,12.0,,,,3
kstenerud/KSCrash,https://github.com/kstenerud/KSCrash.git,4358.0,2025.0,True,The Ultimate iOS Crash Reporter,Objective-C,,False,176.0,12.0,,5.0,12.0,,3
kvyatkovskys/KVKCalendar,https://github.com/kvyatkovskys/KVKCalendar.git,717.0,2025.0,True,A most fully customization calendar for Apple platforms 📅,Swift,"swift, ios, cocoapods, ios-calendar, ios-swift, calendar, kvkcalendar, carthage, calendar-view, timeline, swift-package-manager, customization-calendar, timeline-library, datepicker",False,25.0,13.0,,,,,1
lapfelix/bluetoothconnector,https://github.com/lapfelix/bluetoothconnector.git,545.0,2025.0,True,Simple macOS CLI to connect/disconnect a Bluetooth device. Useful for AirPods or other Bluetooth headphones.,Swift,"bluetooth, macos, airpods, beatsx, swift, swift-package, swift-package-manager, beats, macos-cli, automator-workflow, shortcut",False,5.0,,,,,,0
lascic/UIOnboarding,https://github.com/lascic/UIOnboarding.git,788.0,2025.0,True,Apple-esque animated welcome screen for iOS and iPadOS. Configurable.,Swift,"uikit, swift, swiftui, onboarding",False,5.0,13.0,,,,,1
layoutbox/flexlayout,https://github.com/layoutbox/flexlayout.git,2079.0,2025.0,True,"FlexLayout adds a nice Swift interface to the highly optimized facebook/yoga flexbox implementation. Concise, intuitive & chainable syntax.",Swift,"swift, ios, ios-swift, layout, layout-engine, flexbox, flex-layout, flexbox-container, css-flexbox, flex-container, flexbox-layout, yoga, flex-items, ios-lib, ios-ui, swift-3, swift-framework, flexbox-properties",False,1.0,13.0,,,,,1
layoutBox/PinLayout,https://github.com/layoutBox/PinLayout.git,2401.0,2025.0,True,"Fast Swift Views layouting without auto layout. No magic, pure code, full control and blazing fast. Concise syntax, intuitive, readable & chainable. [iOS/macOS/tvOS/CALayer]",Swift,"swift, layout-engine, carthage, cocoapod, chainable-methods, swift-3, swift-library, uiview-extension, ios, ios-swift, ios-lib, layout, rtl, left-language, margin, anchor, ios-ui, swift-framework, language",False,16.0,,,,,,0
li6185377/LKDBHelper-SQLite-ORM,https://github.com/li6185377/LKDBHelper-SQLite-ORM.git,1207.0,2025.0,True,"全自动的插入,查询,更新,删除， an automatic database operation  thread-safe and not afraid of recursive deadlock",Objective-C,,False,2.0,,,,,,0
line/line-sdk-ios-swift,https://github.com/line/line-sdk-ios-swift.git,870.0,2025.0,True,Provides a modern way of implementing LINE APIs.,Swift,"line, line-sdk, line-login, swift",False,7.0,13.0,,,,,1
lucaszischka/BottomSheet,https://github.com/lucaszischka/BottomSheet.git,1182.0,2025.0,True,A sliding Sheet from the bottom of the Screen with 3 States build with SwiftUI.,Swift,"bottomsheet, swiftui, swift, swift5, xcode, hacktoberfest",False,23.0,13.0,,,,,2
lyft/hammer,https://github.com/lyft/hammer.git,700.0,2025.0,True,iOS touch synthesis library,Swift,"ui-testing, testing, ios, lyft",False,7.0,12.0,,,,,1
mac-cain13/R.swift,https://github.com/mac-cain13/R.swift.git,9583.0,2025.0,True,"Strong typed, autocompleted resources like images, fonts and segues in Swift projects",Swift,"swift, ios, watchos, tvos, code-generator, autocompletion, xcode, resources",False,74.0,11.0,,4.0,11.0,,3
MacPaw/OpenAI,https://github.com/MacPaw/OpenAI.git,2632.0,2025.0,True,Swift community driven package for OpenAI public API,Swift,"ai, openai, openai-api, spm, swift, swiftpackagemanager",False,23.0,13.0,,6.0,13.0,1.0,4
mapbox/Fingertips,https://github.com/mapbox/Fingertips.git,826.0,2025.0,True,Touch indicators on external displays for iOS applications.,Swift,,False,3.0,11.0,,,,,1
mapbox/mapbox-maps-ios,https://github.com/mapbox/mapbox-maps-ios.git,540.0,2025.0,True,"Interactive, thoroughly customizable maps for iOS powered by vector tiles and Metal",Swift,"mapbox, maps, map, metal, swift, ios, priority",False,249.0,14.0,,,,,1
mapbox/mapbox-navigation-ios,https://github.com/mapbox/mapbox-navigation-ios.git,891.0,2025.0,True,Turn-by-turn navigation logic and UI in Swift on iOS,Swift,"in-scope, priority",False,198.0,14.0,,,,,1
marcoarment/Blackbird,https://github.com/marcoarment/Blackbird.git,966.0,2025.0,True,,Swift,,False,11.0,15.0,12.0,8.0,15.0,,4
marmelroy/PhoneNumberKit,https://github.com/marmelroy/PhoneNumberKit.git,5273.0,2025.0,True,"A Swift framework for parsing, formatting and validating international phone numbers. Inspired by Google's libphonenumber.",Swift,"phone-number, google-libphonenumber, swift, parsing, validation, contacts, formatting",False,14.0,12.0,,4.0,12.0,,3
mattmassicotte/ConcurrencyRecipes,https://github.com/mattmassicotte/ConcurrencyRecipes.git,1268.0,2025.0,True,Practical solutions to problems with Swift Concurrency,Swift,,False,2.0,,,,,,0
mchakravarty/CodeEditorView,https://github.com/mchakravarty/CodeEditorView.git,801.0,2025.0,True,"SwiftUI code editor view for iOS, visionOS, and macOS",Swift,"swiftui, ios, macos, editor, visionos",False,55.0,17.0,14.0,,,1.0,3
mergesort/Boutique,https://github.com/mergesort/Boutique.git,1084.0,2025.0,True,✨ A magical persistence library (and so much more) for state-driven iOS and Mac apps ✨,Swift,"actors, cache, database, ios, macos, offline-first, persistence, swift, appkit, swiftui, uikit",False,5.0,17.0,14.0,,,,2
MessageKit/MessageKit,https://github.com/MessageKit/MessageKit.git,6181.0,2025.0,True,A community-driven replacement for JSQMessagesViewController,Swift,"messaging, messenger, message, jsqmessagesviewcontroller, swift, viewcontroller, hacktoberfest, ios, chat",False,76.0,14.0,,,,,1
michaeleisel/ZippyJSON,https://github.com/michaeleisel/ZippyJSON.git,941.0,2025.0,True,A much faster version of JSONDecoder,Swift,,False,2.0,11.0,,,11.0,,2
microsoft/appcenter-sdk-apple,https://github.com/microsoft/appcenter-sdk-apple.git,573.0,2025.0,True,"Development repository for the App Center SDK for iOS, macOS and tvOS.",Objective-C,appcenter,False,0.0,12.0,,,12.0,,2
microsoft/fluentui-apple,https://github.com/microsoft/fluentui-apple.git,946.0,2025.0,True,UIKit and AppKit controls for building native Microsoft experiences,Swift,"microsoft, uikit, appkit, cocoa, macos, ios, fluentui-apple",False,35.0,16.0,13.0,,,1.0,3
microsoft/plcrashreporter,https://github.com/microsoft/plcrashreporter.git,3000.0,2025.0,True,"Reliable, open-source crash reporting for iOS, macOS and tvOS",Objective-C,"crash-reporting, ios, macos",False,0.0,11.0,,,11.0,,2
migueldeicaza/SwiftGodot,https://github.com/migueldeicaza/SwiftGodot.git,1417.0,2025.0,True,New Godot bindings for Swift,Swift,,False,107.0,,14.0,,,,1
